wikiUrl,city,cityInfo
http://wikitravel.org/en/Kathmandu,Kathmandu," Kathmandu — capital and cultural centre of Nepal, with the stupas at Boudhanath and Swayambhu"
http://wikitravel.org/en/Bhaktapur,Bhaktapur," Bhaktapur — well-preserved historical city, centre of Nepali pottery making, no motorized vehicles allowed!"
http://wikitravel.org/en/Biratnagar,Biratnagar, Biratnagar — this city is in eastern Nepal near Dharan and famous for political reasons
http://wikitravel.org/en/Birgunj,Birgunj, Birgunj — business gateway between India and Nepal in mid-southern Nepal
http://wikitravel.org/en/Boudhanath,Boudhanath," Boudhanath — (Boudha) home of the largest Buddhist Stupa in Nepal and a very important place of pilgrimage and meditation for Buddhists, local Nepalis, and tourists "
http://wikitravel.org/en/Janakpur,Janakpur, Janakpur — a historical religious centre and home to the 500-year old Janaki Temple
http://wikitravel.org/en/Namche Bazaar,Namche Bazaar, Namche Bazaar — a Sherpa settlement located in the Solu Khumbu region - popular with trekkers
http://wikitravel.org/en/Nepalgunj,Nepalgunj, Nepalgunj — the main hub for the Mid- and Far-Western Development Region; Bardiya National Park is close-by
http://wikitravel.org/en/Patan,Patan," Patan — Beautiful, historic Patan Durbar Square was designated as a World Heritage Site by UNESCO in 1979"
http://wikitravel.org/en/Pokhara,Pokhara," Pokhara — picturesque lake-side town fast becoming the destination of choice for travellers due to the scenery, adventure sports, dining, hotels & live music scene"
http://wikitravel.org/en/Gorkha,Gorkha, Gorkha — small town near Pokhara the inhabitants of which were known as Gorkhali and the origination of current Nepal
